Category,Sub-Category,Product Name,total_sales,total_profit,total_units,orders,loss_orders,profit_margin_pct,loss_rate_pct
Furniture,Bookcases,"Hon Metal Bookcases, Putty",1320.23,362.71,19.0,5,0.0,27.47,0.0
Technology,Phones,Avaya IP Phone 1140E VoIP phone,1394.95,362.69,5.0,1,0.0,26.0,0.0
Furniture,Furnishings,Luxo Adjustable Task Clamp Lamp,1545.82,362.47,18.0,4,0.0,23.45,0.0
Technology,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac,1690.82,360.96,20.0,6,0.0,21.35,0.0
Technology,Machines,Star Micronics TSP800 TSP847IIU Receipt Printer,1286.85,360.32,4.0,2,0.0,28.0,0.0
Technology,Accessories,Kensington Orbit Wireless Mobile Trackball for PC and Mac,1703.72,357.54,33.0,5,0.0,20.99,0.0
Office Supplies,Paper,Xerox 191,767.23,354.25,39.0,10,0.0,46.17,0.0
Furniture,Tables,Global Adaptabilities Conference Tables,3540.35,354.03,14.0,4,2.0,10.0,50.0
Office Supplies,Paper,Xerox 1883,881.09,354.02,37.0,7,0.0,40.18,0.0
Furniture,Furnishings,Luxo Professional Combination Clamp-On Lamps,1329.9,345.77,13.0,5,0.0,26.0,0.0
Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.48,342.89,31.0,5,1.0,8.19,20.0
Office Supplies,Paper,Xerox 1916,831.98,342.58,20.0,7,0.0,41.18,0.0
Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,1007.15,342.56,34.0,9,0.0,34.01,0.0
Technology,Phones,Motorola Droid Maxx,2609.83,341.98,21.0,4,1.0,13.1,25.0
Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",1047.74,340.51,27.0,7,0.0,32.5,0.0
Technology,Phones,AT&T TR1909W,1738.66,340.17,15.0,4,0.0,19.57,0.0
Technology,Phones,Polycom VoiceStation 500 Conference phone,3657.38,339.19,15.0,5,0.0,9.27,0.0
Furniture,Chairs,Harbour Creations Steel Folding Chair,2389.13,336.38,34.0,8,0.0,14.08,0.0
Technology,Phones,GE 30522EE2,1159.9,336.37,10.0,3,0.0,29.0,0.0
Office Supplies,Paper,Xerox 1960,879.83,334.58,32.0,6,0.0,38.03,0.0
Office Supplies,Binders,Satellite Sectional Post Binders,1219.82,329.05,38.0,11,4.0,26.98,36.36
Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,1100.48,328.93,47.0,13,5.0,29.89,38.46
Office Supplies,Paper,Xerox 1943,743.43,328.68,16.0,4,0.0,44.21,0.0
Technology,Phones,Konftel 250 Conference phone - Charcoal black,2221.6,324.69,9.0,4,0.0,14.62,0.0
Technology,Phones,Avaya 5420 Digital phone,1538.89,323.98,12.0,3,0.0,21.05,0.0
Office Supplies,Paper,Tops White Computer Printout Paper,684.74,321.83,14.0,4,0.0,47.0,0.0
Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,1184.03,319.62,34.0,9,0.0,26.99,0.0
Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,1579.37,318.36,26.0,7,0.0,20.16,0.0
Technology,Phones,HTC One Mini,2041.04,317.49,19.0,4,0.0,15.56,0.0
Technology,Phones,Ooma Telo VoIP Home Phone System,2015.84,314.98,18.0,5,0.0,15.63,0.0
Furniture,Furnishings,Electrix Halogen Magnifier Lamp,2759.06,314.77,17.0,6,1.0,11.41,16.67
Office Supplies,Paper,Xerox 1964,721.74,314.74,33.0,4,0.0,43.61,0.0
Technology,Phones,Adtran 1202752G1,1990.64,312.46,18.0,5,0.0,15.7,0.0
Furniture,Tables,"Bush Cubix Conference Tables, Fully Assembled",3603.29,311.82,19.0,4,1.0,8.65,25.0
Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",822.74,311.77,28.0,5,0.0,37.89,0.0
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,1473.11,311.22,8.0,4,0.0,21.13,0.0
Furniture,Bookcases,Sauder Inglewood Library Bookcases,2154.35,311.18,14.0,5,1.0,14.44,20.0
Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,1166.44,310.89,25.0,5,0.0,26.65,0.0
Office Supplies,Envelopes,"Strathmore #10 Envelopes, Ultimate White",632.52,309.93,12.0,4,0.0,49.0,0.0
Office Supplies,Paper,Xerox 1886,651.44,302.73,14.0,5,0.0,46.47,0.0
Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit,746.83,302.33,19.0,6,0.0,40.48,0.0
Office Supplies,Labels,Avery 485,639.03,300.34,51.0,8,0.0,47.0,0.0
Technology,Phones,Cisco SPA 502G IP Phone,2063.14,299.88,21.0,5,0.0,14.53,0.0
Office Supplies,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",783.61,299.85,22.0,7,0.0,38.27,0.0
Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",1042.07,294.31,27.0,6,1.0,28.24,16.67
Office Supplies,Fasteners,Staples,755.47,292.2,215.0,46,0.0,38.68,0.0
Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",1042.08,291.78,13.0,4,0.0,28.0,0.0
Office Supplies,Appliances,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,675.12,290.3,3.0,1,0.0,43.0,0.0
Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.06,289.58,23.0,5,1.0,7.5,20.0
Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,1114.38,288.43,28.0,6,0.0,25.88,0.0
Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",1465.74,287.91,12.0,5,0.0,19.64,0.0
Technology,Accessories,Logitech Trackman Marble Mouse,773.74,286.7,28.0,9,0.0,37.05,0.0
Office Supplies,Paper,Xerox 1880,623.74,285.65,18.0,5,0.0,45.8,0.0
Technology,Phones,Nokia Lumia 925,1310.3,284.74,11.0,3,0.0,21.73,0.0
Office Supplies,Binders,Premium Transparent Presentation Covers by GBC,753.18,284.07,43.0,10,2.0,37.72,20.0
Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",2185.95,283.75,44.0,9,3.0,12.98,33.33
Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,6748.48,281.97,43.0,10,3.0,4.18,30.0
Office Supplies,Binders,GBC VeloBinder Manual Binding System,842.17,280.72,30.0,8,2.0,33.33,25.0
Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,718.65,280.27,45.0,6,0.0,39.0,0.0
Office Supplies,Paper,Xerox 1911,603.54,279.74,13.0,5,0.0,46.35,0.0
Office Supplies,Paper,Xerox 1940,615.55,279.2,12.0,4,0.0,45.36,0.0
Office Supplies,Paper,Xerox 1942,597.07,278.96,13.0,6,0.0,46.72,0.0
Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",1193.82,278.85,30.0,7,0.0,23.36,0.0
Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",1051.78,277.29,18.0,4,0.0,26.36,0.0
Technology,Phones,Polycom SoundPoint Pro SE-225 Corded phone,1903.84,276.06,19.0,4,1.0,14.5,25.0
Technology,Accessories,Hypercom P1300 Pinpad,1108.8,275.31,21.0,7,0.0,24.83,0.0
Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",610.98,274.94,17.0,3,0.0,45.0,0.0
Technology,Phones,ClearOne Communications CHAT 70 OC Speaker Phone,1685.29,273.46,12.0,4,0.0,16.23,0.0
Office Supplies,Paper,Xerox 1882,615.78,273.18,12.0,5,0.0,44.36,0.0
Technology,Phones,AT&T 1080 Phone,1589.08,271.24,13.0,3,0.0,17.07,0.0
Technology,Machines,Star Micronics TSP100 TSP143LAN Receipt Printer,1035.8,269.31,4.0,1,0.0,26.0,0.0
Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.2,267.3,39.0,10,5.0,4.46,50.0
Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,867.26,266.07,21.0,4,0.0,30.68,0.0
Office Supplies,Binders,Ibico Recycled Linen-Style Covers,749.95,262.48,24.0,4,1.0,35.0,25.0
Office Supplies,Storage,"File Shuttle II and Handi-File, Black",1125.15,260.95,34.0,7,0.0,23.19,0.0
Office Supplies,Paper,"Xerox Color Copier Paper, 11"" x 17"", Ream",593.84,260.83,27.0,6,0.0,43.92,0.0
Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,1041.66,259.58,47.0,10,4.0,24.92,40.0
Technology,Phones,Jabra Supreme Plus Driver Edition Headset,2159.82,259.18,22.0,5,1.0,12.0,20.0
Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",1240.04,259.13,31.0,8,0.0,20.9,0.0
Office Supplies,Paper,Xerox 1944,573.65,257.37,16.0,6,0.0,44.86,0.0
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",681.45,256.19,17.0,4,1.0,37.59,25.0
Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,1489.33,255.31,29.0,9,0.0,17.14,0.0
Office Supplies,Paper,Xerox 1991,575.57,254.89,26.0,6,0.0,44.29,0.0
Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,1501.9,254.82,24.0,8,1.0,16.97,12.5
Office Supplies,Storage,Recycled Steel Personal File for Standard File Folders,1072.63,254.33,20.0,4,0.0,23.71,0.0
Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",1589.41,253.84,31.0,6,0.0,15.97,0.0
Technology,Phones,Nortel Meridian M5316 Digital phone,2744.87,253.77,13.0,4,2.0,9.25,50.0
Technology,Phones,Plantronics HL10 Handset Lifter,2227.01,250.54,24.0,3,0.0,11.25,0.0
Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",949.03,247.57,17.0,5,1.0,26.09,20.0
Furniture,Chairs,"Global Value Steno Chair, Gray",2204.86,246.0,43.0,10,3.0,11.16,30.0
Office Supplies,Paper,Xerox 1951,755.91,244.74,30.0,6,0.0,32.38,0.0
Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1685.44,244.39,18.0,5,1.0,14.5,20.0
Office Supplies,Labels,Avery 477,573.96,244.24,20.0,4,0.0,42.55,0.0
Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,518.0,244.2,37.0,9,0.0,47.14,0.0
Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,1916.72,241.61,17.0,5,0.0,12.61,0.0
Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,948.23,241.14,19.0,6,0.0,25.43,0.0
Office Supplies,Paper,Xerox 1935,538.15,239.0,21.0,4,0.0,44.41,0.0
Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,527.47,236.56,28.0,5,0.0,44.85,0.0
Office Supplies,Paper,Xerox 1910,586.09,236.36,14.0,5,0.0,40.33,0.0
Office Supplies,Paper,Xerox 1889,516.62,236.33,10.0,3,0.0,45.74,0.0
Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,812.16,235.53,9.0,2,0.0,29.0,0.0
Office Supplies,Binders,Tuf-Vin Binders,669.5,234.32,26.0,7,2.0,35.0,28.57
Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",3641.27,234.23,64.0,15,6.0,6.43,40.0
Office Supplies,Storage,Advantus Rolling Drawer Organizers,1115.92,233.19,31.0,6,0.0,20.9,0.0
Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.96,231.65,13.0,2,1.0,10.49,50.0
Technology,Phones,Apple iPhone 5C,1339.87,229.98,15.0,4,0.0,17.16,0.0
Furniture,Bookcases,"Hon Metal Bookcases, Gray",851.76,229.98,12.0,2,0.0,27.0,0.0
Technology,Phones,Samsung Rugby III,1385.79,229.65,24.0,8,0.0,16.57,0.0
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,2883.28,229.59,21.0,5,1.0,7.96,20.0
Furniture,Chairs,Global Deluxe Office Fabric Chairs,1420.5,229.39,17.0,6,0.0,16.15,0.0
Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,1386.69,228.4,12.0,3,0.0,16.47,0.0
Technology,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,543.6,228.31,15.0,6,0.0,42.0,0.0
Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",570.78,225.05,24.0,7,0.0,39.43,0.0
Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",488.9,223.14,32.0,7,0.0,45.64,0.0
Office Supplies,Storage,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",1706.51,222.59,5.0,2,0.0,13.04,0.0
Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,908.7,219.84,27.0,6,0.0,24.19,0.0
Technology,Machines,Lexmark 20R1285 X6650 Wireless All-in-One Printer,600.0,218.4,6.0,2,1.0,36.4,50.0
Technology,Phones,PureGear Roll-On Screen Protector,571.71,218.29,34.0,5,0.0,38.18,0.0
Office Supplies,Paper,Xerox 1887,512.19,216.26,30.0,8,0.0,42.22,0.0
Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",1217.11,215.55,47.0,12,5.0,17.71,41.67
Technology,Accessories,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",626.54,212.3,25.0,5,0.0,33.88,0.0
Technology,Accessories,Logitech MX Performance Wireless Mouse,789.82,211.82,23.0,7,0.0,26.82,0.0
Technology,Phones,Mitel 5320 IP Phone VoIP phone,2116.69,211.67,14.0,4,0.0,10.0,0.0
Office Supplies,Binders,Surelock Post Binders,653.98,210.86,29.0,8,2.0,32.24,25.0
Furniture,Tables,Bush Advantage Collection Round Conference Table,3401.6,210.47,19.0,4,2.0,6.19,50.0
Technology,Phones,Cisco SPA508G,910.66,207.87,15.0,5,1.0,22.83,20.0
Office Supplies,Paper,Xerox 1881,454.36,207.04,38.0,11,0.0,45.57,0.0
Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,1776.05,207.02,40.0,10,1.0,11.66,10.0
Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,206.87,8.0,2,0.0,6.0,0.0
Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,1073.11,206.27,27.0,7,0.0,19.22,0.0
Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,709.5,205.75,30.0,6,0.0,29.0,0.0
Office Supplies,Paper,Xerox 1884,543.46,204.6,32.0,8,0.0,37.65,0.0
Furniture,Chairs,Global Italian Leather Office Chair,969.25,204.33,8.0,2,1.0,21.08,50.0
Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",1324.8,201.83,31.0,9,1.0,15.23,11.11
Technology,Phones,Mophie Juice Pack Helium for iPhone,1583.8,201.57,24.0,6,1.0,12.73,16.67
Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,515.79,201.16,11.0,3,0.0,39.0,0.0
Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,858.88,201.07,26.0,10,0.0,23.41,0.0
Office Supplies,Paper,Xerox 1939,417.34,200.32,22.0,5,0.0,48.0,0.0
Office Supplies,Paper,Xerox 1937,499.62,199.85,12.0,4,0.0,40.0,0.0
Office Supplies,Appliances,"Belkin 325VA UPS Surge Protector, 6'",1379.17,199.62,13.0,4,0.0,14.47,0.0
Office Supplies,Storage,Home/Office Personal File Carts,980.23,198.13,30.0,7,0.0,20.21,0.0
Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",1978.93,197.89,39.0,10,3.0,10.0,30.0
Office Supplies,Storage,Eldon Portable Mobile Manager,899.3,197.39,34.0,9,0.0,21.95,0.0
Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",434.56,197.1,24.0,6,1.0,45.36,16.67
Technology,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,888.97,196.03,24.0,6,0.0,22.05,0.0
Technology,Phones,Samsung HM1900 Bluetooth Headset,491.68,195.36,27.0,7,0.0,39.73,0.0
Office Supplies,Paper,Xerox 197,501.88,195.17,18.0,3,0.0,38.89,0.0
Technology,Phones,Jackery Bar Premium Fast-charging Portable Charger,467.22,192.28,18.0,4,0.0,41.15,0.0
Furniture,Furnishings,Howard Miller Distant Time Traveler Alarm Clock,531.95,192.21,21.0,6,1.0,36.13,16.67
Technology,Machines,Lexmark X 9575 Professional All-in-One Color Printer,396.0,190.08,4.0,1,0.0,48.0,0.0
Technology,Accessories,Memorex Froggy Flash Drive 8 GB,536.05,189.57,32.0,8,0.0,35.36,0.0
Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,1073.68,188.51,30.0,7,1.0,17.56,14.29
Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",458.5,185.88,16.0,6,0.0,40.54,0.0
Office Supplies,Storage,Steel Personal Filing/Posting Tote,937.46,185.72,29.0,5,0.0,19.81,0.0
Office Supplies,Paper,Xerox 194,443.84,184.19,9.0,4,0.0,41.5,0.0
Technology,Accessories,Microsoft Wireless Mobile Mouse 4000,591.85,183.95,15.0,4,0.0,31.08,0.0
Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,455.07,183.13,34.0,8,0.0,40.24,0.0
Office Supplies,Paper,Xerox 1925,489.48,182.78,18.0,6,0.0,37.34,0.0
Office Supplies,Binders,Binding Machine Supplies,667.99,182.6,32.0,9,1.0,27.34,11.11
Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.31,181.66,25.0,6,1.0,2.66,16.67
Technology,Accessories,"Maxell 74 Minute CD-R Spindle, 50/Pack",503.28,181.18,24.0,5,0.0,36.0,0.0
Furniture,Furnishings,24-Hour Round Wall Clock,487.51,180.02,27.0,6,0.0,36.93,0.0
Technology,Machines,Panasonic KX MB2061 Multifunction Printer,2396.4,179.73,10.0,1,0.0,7.5,0.0
Furniture,Furnishings,"Computer Room Manger, 14""",636.61,179.29,22.0,7,0.0,28.16,0.0
Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",406.46,178.7,25.0,4,0.0,43.97,0.0
Technology,Phones,Panasonic KX TS3282W Corded phone,1665.8,178.48,25.0,7,1.0,10.71,14.29
Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",1468.69,178.15,13.0,5,0.0,12.13,0.0
Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,552.71,177.66,19.0,4,0.0,32.14,0.0
Technology,Machines,Socket Bluetooth Cordless Hand Scanner (CHS),506.28,177.2,3.0,1,0.0,35.0,0.0
Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster II,631.68,176.87,16.0,3,0.0,28.0,0.0
Technology,Phones,Plantronics Voyager Pro Legend,1359.53,173.03,8.0,3,1.0,12.73,33.33
Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,422.75,172.94,10.0,4,0.0,40.91,0.0
Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1322.17,172.25,24.0,6,1.0,13.03,16.67
Office Supplies,Paper,Tops Green Bar Computer Printout Paper,342.58,171.29,7.0,3,0.0,50.0,0.0
Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,442.55,171.26,29.0,7,0.0,38.7,0.0
Furniture,Chairs,"Safco Chair Connectors, 6/Carton",881.19,170.85,26.0,4,1.0,19.39,25.0
Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",929.48,169.26,21.0,7,1.0,18.21,14.29
Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,405.96,169.21,24.0,7,0.0,41.68,0.0
Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,647.84,168.44,8.0,1,0.0,26.0,0.0
Technology,Phones,AT&T 17929 Lendline Telephone,1339.1,167.39,35.0,10,1.0,12.5,10.0
Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,759.12,166.84,20.0,5,0.0,21.98,0.0
Furniture,Furnishings,"Executive Impressions 14""",377.91,166.28,17.0,4,0.0,44.0,0.0
Office Supplies,Labels,Avery 505,372.96,165.76,28.0,7,0.0,44.44,0.0
Technology,Phones,AT&T 841000 Phone,1614.6,165.6,28.0,7,2.0,10.26,28.57
Office Supplies,Art,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",431.29,165.21,13.0,2,0.0,38.31,0.0
Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,375.73,164.86,30.0,7,0.0,43.88,0.0
Technology,Phones,Panasonic Business Telephones KX-T7736,546.06,163.82,3.0,1,0.0,30.0,0.0
Technology,Phones,Plantronics Encore H101 Dual Earpieces Headset,746.17,163.62,18.0,7,0.0,21.93,0.0
Office Supplies,Binders,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",569.24,162.64,19.0,5,1.0,28.57,20.0
Technology,Phones,Polycom SoundPoint IP 450 VoIP phone,3839.62,162.62,22.0,6,2.0,4.24,33.33
Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,770.11,162.58,16.0,5,1.0,21.11,20.0
Technology,Phones,ClearSounds CSC500 Amplified Spirit Phone Corded phone,1119.84,162.38,19.0,6,1.0,14.5,16.67
Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",467.07,162.05,17.0,6,0.0,34.7,0.0
Office Supplies,Labels,Round Specialty Laser Printer Labels,421.01,162.01,39.0,6,0.0,38.48,0.0
Technology,Accessories,Logitech ClearChat Comfort/USB Headset H390,533.08,160.22,19.0,6,0.0,30.05,0.0
Office Supplies,Paper,Xerox 19,415.13,159.55,15.0,4,0.0,38.43,0.0
Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,554.24,157.96,22.0,6,2.0,28.5,33.33
Technology,Phones,Grandstream GXP1160 VoIP phone,803.69,157.71,24.0,6,1.0,19.62,16.67
Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,321.44,157.51,28.0,4,0.0,49.0,0.0
Technology,Accessories,Maxell LTO Ultrium - 800 GB,1086.01,156.46,41.0,8,3.0,14.41,37.5
Office Supplies,Paper,Xerox 226,334.37,155.78,53.0,11,0.0,46.59,0.0
Office Supplies,Art,Prismacolor Color Pencil Set,436.48,155.55,24.0,7,0.0,35.64,0.0
Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,1842.27,155.37,20.0,6,2.0,8.43,33.33
Technology,Phones,Panasonic KX TS208W Corded phone,1283.54,154.81,32.0,6,1.0,12.06,16.67
Office Supplies,Paper,Xerox 1929,351.74,154.4,16.0,4,0.0,43.9,0.0
Technology,Phones,Samsung Galaxy Note 3,2155.9,153.99,13.0,3,1.0,7.14,33.33
Office Supplies,Art,Hunt Boston Vacuum Mount KS Pencil Sharpener,671.81,153.96,20.0,5,0.0,22.92,0.0
Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,2612.2,153.35,43.0,8,3.0,5.87,37.5
Technology,Machines,I.R.I.S IRISCard Anywhere 5 Card Scanner,350.97,152.09,3.0,1,0.0,43.33,0.0
Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,1053.03,151.66,21.0,6,0.0,14.4,0.0
Furniture,Chairs,SAFCO Folding Chair Trolley,705.32,151.32,6.0,3,1.0,21.45,33.33
Office Supplies,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",336.95,150.97,34.0,6,0.0,44.81,0.0
Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",1010.78,150.54,10.0,4,0.0,14.89,0.0
Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,469.4,150.37,24.0,5,0.0,32.04,0.0
Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",873.64,149.94,32.0,7,0.0,17.16,0.0
Office Supplies,Envelopes,Multimedia Mailers,325.86,149.9,2.0,1,0.0,46.0,0.0
Office Supplies,Storage,"Companion Letter/Legal File, Black",611.71,149.53,17.0,5,0.0,24.44,0.0
Technology,Accessories,"Logitech Wireless Boombox Speaker - portable - wireless, wired",383.04,148.96,4.0,2,0.0,38.89,0.0
Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2267.97,148.37,25.0,7,0.0,6.54,0.0
Furniture,Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,786.9,147.94,14.0,2,1.0,18.8,50.0
Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,1119.2,147.09,22.0,5,1.0,13.14,20.0
Office Supplies,Binders,Vinyl Sectional Post Binders,901.03,147.03,40.0,11,5.0,16.32,45.45
Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",1674.4,146.51,20.0,6,1.0,8.75,16.67
Technology,Phones,AT&T 1080 Corded phone,1945.26,145.21,18.0,7,1.0,7.46,14.29
Furniture,Furnishings,Tensor Computer Mounted Lamp,536.04,144.73,36.0,8,0.0,27.0,0.0
Technology,Phones,Nokia Lumia 1020,1439.97,144.0,4.0,1,0.0,10.0,0.0
Technology,Accessories,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,467.22,143.76,18.0,5,0.0,30.77,0.0
Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,693.95,143.75,24.0,6,0.0,20.71,0.0
Technology,Phones,Motorola Moto X,1631.95,142.8,6.0,2,0.0,8.75,0.0
Office Supplies,Paper,Xerox 1979,328.39,140.96,11.0,3,0.0,42.92,0.0
Office Supplies,Art,Sanford 52201 APSCO Electric Pencil Sharpener,565.39,140.94,14.0,4,0.0,24.93,0.0
Technology,Machines,Hewlett-Packard Deskjet D4360 Printer,447.97,139.99,4.0,1,0.0,31.25,0.0
Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,1396.21,139.62,6.0,2,1.0,10.0,50.0
Furniture,Chairs,Hon Valutask Swivel Chairs,1242.05,139.35,13.0,4,1.0,11.22,25.0
Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",320.25,139.08,22.0,5,0.0,43.43,0.0
Office Supplies,Paper,Xerox 1933,294.72,138.52,24.0,5,0.0,47.0,0.0
Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,1100.4,138.34,34.0,8,3.0,12.57,37.5
Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",437.7,138.31,18.0,4,1.0,31.6,25.0
Furniture,Furnishings,Eldon Radial Chair Mat for Low to Medium Pile Carpets,775.61,135.93,20.0,6,0.0,17.53,0.0
Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.72,135.59,34.0,9,1.0,4.09,11.11
Office Supplies,Art,Newell 334,531.71,135.31,27.0,6,0.0,25.45,0.0
Technology,Phones,Panasonic KX T7736-B Digital phone,1259.58,134.95,10.0,5,1.0,10.71,20.0
